# word  syl-la-ble-split   built by gen/build_dictionary.py
# from en_US hyphenation patterns (pyphen). Break points, which are
# conservative: a missing break is safer than a wrong one.
advantages ad-van-tages
advantest ad-van-test
advection ad-vec-tion
advent ad-vent
adventist ad-ven-tist
adventists ad-ven-tists
adventure ad-ven-ture
adventurer ad-ven-tur-er
adventurers ad-ven-tur-ers
adventures ad-ven-tures
adventuresome ad-ven-ture-some
adventurism ad-ven-tur-ism
adventurous ad-ven-tur-ous
adverb ad-verb
adverbial ad-ver-bial
adverbs ad-verbs
adversarial ad-ver-sar-i-al
adversaries ad-ver-saries
adversary ad-ver-sary
adverse ad-verse
adversely ad-verse-ly
adversity ad-ver-si-ty
advert ad-vert
advertise ad-ver-tise
advertised ad-ver-tised
advertisement ad-ver-tise-ment
advertisements ad-ver-tise-ments
advertiser ad-ver-tis-er
advertisers ad-ver-tis-ers
advertises ad-ver-tis-es
advertising ad-ver-tis-ing
advertorial ad-ver-to-ri-al
advertorials ad-ver-to-ri-als
advest ad-vest
advice ad-vice
advisability ad-vis-abil-i-ty
advisable ad-vis-able
advise ad-vise
advised ad-vised
advisedly ad-vis-ed-ly
advisement ad-vise-ment
adviser ad-vis-er
advisers ad-vis-ers
advises ad-vis-es
advising ad-vis-ing
advisor ad-vi-sor
advisories ad-vi-sories
advisors ad-vi-sors
advisory ad-vi-so-ry
advo ad-vo
advocacy ad-vo-ca-cy
advocate ad-vo-cate
advocated ad-vo-cat-ed
advocates ad-vo-cates
advocating ad-vo-cat-ing
advocation ad-vo-ca-tion
adweek ad-week
adwell ad-well
adwords ad-words
aegerter aegert-er
aegon ae-gon
aeltus ael-tus
aeneas ae-neas
aeolus ae-o-lus
aequitron ae-quitron
aerial aeri-al
aerials aeri-als
aeritalia aer-i-talia
aerobatic aer-o-bat-ic
aerobatics aer-o-bat-ics
aerobic aer-o-bic
aerobically aer-o-bi-cal-ly
aerobics aer-o-bics
aerodrome aero-drome
aerodromes aero-dromes
aerodynamic aero-dy-nam-ic
aerodynamically aero-dy-nam-i-cal-ly
aerodynamicist aero-dy-nam-i-cist
aerodynamicists aero-dy-nam-i-cists
aerodynamics aero-dy-nam-ics
aerodyne aero-dyne
aerojet aero-jet
aerojets aero-jets
aerolift aero-lift
aerolifts aero-lifts
aerolineas aero-lin-eas
aeromar aero-mar
aeromexico aeromex-i-co
aeronautic aero-nau-tic
aeronautical aero-nau-ti-cal
aeronauticas aero-nau-ti-cas
aeronautics aero-nau-tics
aeroperu aerope-ru
aeroquip aero-quip
aeroscience aero-science
aerosmith aero-smith
aerospace aero-space
aerospatiale aerospa-tiale
aerostat aero-stat
aeschliman aeschli-man
aesop ae-sop
aesthenopia aes-thenopia
aesthete aes-thete
aesthetes aes-thetes
aesthetic aes-thet-ic
aesthetically aes-thet-i-cal-ly
aesthetics aes-thet-ics
aetna aet-na
affable af-fa-ble
affably af-fa-bly
affair af-fair
affairs af-fairs
affect af-fect
affectation af-fec-ta-tion
affected af-fect-ed
affecting af-fect-ing
affection af-fec-tion
affectionate af-fec-tion-ate
affectionately af-fec-tion-ate-ly
affections af-fec-tions
affective af-fec-tive
affectively af-fec-tive-ly
affects af-fects
affeldt af-feldt
afferent af-fer-ent
affiant af-fi-ant
affidavit af-fi-davit
affidavits af-fi-davits
affiliate af-fil-i-ate
affiliated af-fil-i-at-ed
affiliates af-fil-i-ates
affiliating af-fil-i-at-ing
affiliation af-fil-i-a-tion
affiliations af-fil-i-a-tions
affining affin-ing
affinities affini-ties
affinity affin-i-ty
affirm af-firm
affirmation af-fir-ma-tion
affirmations af-fir-ma-tions
affirmative af-fir-ma-tive
affirmatively af-fir-ma-tive-ly
affirmed af-firmed
affirming af-firm-ing
affirms af-firms
affix af-fix
affixed af-fixed
affixes af-fix-es
affixing af-fix-ing
affleck af-fleck
afflerbach af-fler-bach
afflict af-flict
afflicted af-flict-ed
afflicting af-flict-ing
affliction af-flic-tion
afflictions af-flic-tions
afflicts af-flicts
afflik af-flik
affluence af-flu-ence
affluent af-flu-ent
affolter af-folter
afford af-ford
affordability af-ford-abil-i-ty
affordable af-ford-able
affordably af-ford-ably
afforded af-ford-ed
affording af-ford-ing
affords af-fords
affricate af-fricate
affricates af-fricates
affrication af-frica-tion
affront af-front
affronted af-front-ed
affronting af-fronting
affronts af-fronts
affymax affy-max
afghanis afgha-nis
aficionado afi-ciona-do
aficionados afi-ciona-dos
aflatoxin afla-tox-in
aflutter aflut-ter
afonso afon-so
aforementioned afore-men-tioned
aforesaid afore-said
aforethought afore-thought
africanist african-ist
africanists african-ists
africanize african-ize
africanized african-ized
afridi afri-di
afrikaner afrikan-er
afrikanerdom afrikan-er-dom
afrikaners afrikan-ers
afroamerican afroamer-i-can
afroamericans afroamer-i-cans
afrocentric afro-cen-tric
afsane af-sane
afshar af-shar
after af-ter
afterall af-ter-all
afterburner af-ter-burn-er
afterburners af-ter-burn-ers
aftereffect af-ter-ef-fect
aftereffects af-ter-ef-fects
afterglow af-ter-glow
afterglows af-ter-glows
afterhours af-ter-hours
afterimage af-ter-im-age
afterimages af-ter-im-ages
afterlife af-ter-life
afterlives af-ter-lives
aftermarket af-ter-mar-ket
aftermarkets af-ter-mar-kets
aftermath af-ter-math
aftermaths af-ter-maths
afternoon af-ter-noon
afternoons af-ter-noons
aftershave af-ter-shave
aftershaves af-ter-shaves
aftershock af-ter-shock
aftershocks af-ter-shocks
aftertaste af-ter-taste
aftertastes af-ter-tastes
aftertax af-ter-tax
afterthought af-ter-thought
afterthoughts af-ter-thoughts
afterward af-ter-ward
afterwards af-ter-wards
afula afu-la
agaches agach-es
agamemnon agamem-non
aganbegyan agan-b-e-gyan
agarwal agar-w-al
agassi agas-si
agassiz agas-siz
agco ag-co
ageless age-less
agematsu age-mat-su
agencies agen-cies
agency agen-cy
agenda agen-da
agendas agen-das
ageratum ager-a-tum
ageratums ager-a-tums
agerton ager-ton
agfa ag-fa
aggarwal ag-gar-w-al
aggie ag-gie
aggies ag-gies
agglomerate ag-glom-er-ate
agglomeration ag-glom-er-a-tion
agglutinate ag-glu-ti-nate
aggrandize ag-gran-dize
aggrandizement ag-gran-dize-ment
aggrandizing ag-gran-diz-ing
aggravate ag-gra-vate
